hojin_id,stage,started_at,finished_at,duration_sec,urls_total,urls_done,urls_failed,seeding_source,discovered_total,live_check_enabled,live_checked_total,prefilter_kept,prefilter_dropped_status,prefilter_dropped_external,prefilter_dropped_score,filtered_total,filtered_dropped_patterns_lang,seed_roots_count,seed_brand_count,company_cap,company_cap_applied,per_root_max_discovered,per_root_mean_discovered,saved_html_total,saved_md_total,saved_json_total,md_suppressed_total,resumed_skips,drop_ratio_prefilter,drop_ratio_patterns_lang,drop_ratio_total,md_suppression_rate,throughput_urls_per_min,_progress_path
701107,seed,2025-10-30T02:45:13.846373,2025-10-30T02:45:13.877800,0.031427,0,0,0,sitemap+cc,1048,False,0,1048,0,0,0,1048,0,1,1,,False,1048,1048.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,outputs\701107\checkpoints\progress.json
701108,seed,2025-10-30T02:45:13.907611,2025-10-30T02:45:13.932460,0.024849,0,0,0,sitemap+cc,0,False,0,0,0,0,0,0,0,1,0,,False,0,0.0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,outputs\701108\checkpoints\progress.json
701109,seed,2025-10-30T02:45:13.960182,2025-10-30T02:45:13.981544,0.021362,0,0,0,sitemap+cc,5758,False,0,5758,0,0,0,5758,0,1,0,,False,5758,5758.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,outputs\701109\checkpoints\progress.json
701110,seed,2025-10-30T02:45:14.008089,2025-10-30T02:45:14.031648,0.023559,0,0,0,sitemap+cc,42,False,0,42,0,0,0,19,23,1,0,,False,42,42.0,0,0,0,0,0,0.0,0.5476190476190477,0.5476190476190477,0.0,0.0,outputs\701110\checkpoints\progress.json
701111,seed,2025-10-30T02:45:14.059362,2025-10-30T02:45:14.081227,0.021865,0,0,0,sitemap+cc,4,False,0,4,0,0,0,2,2,1,0,,False,4,4.0,0,0,0,0,0,0.0,0.5,0.5,0.0,0.0,outputs\701111\checkpoints\progress.json
701112,seed,2025-10-30T02:45:14.103239,2025-10-30T02:45:14.125087,0.021848,0,0,0,sitemap+cc,4156,False,0,4156,0,0,0,2271,1885,1,0,,False,4156,4156.0,0,0,0,0,0,0.0,0.4535611164581328,0.4535611164581328,0.0,0.0,outputs\701112\checkpoints\progress.json
701113,seed,2025-10-30T02:45:14.145278,2025-10-30T02:45:14.165591,0.020313,0,0,0,sitemap+cc,0,False,0,0,0,0,0,0,0,1,0,,False,0,0.0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,outputs\701113\checkpoints\progress.json
701114,seed,2025-10-30T02:45:14.189567,2025-10-30T02:45:14.206610,0.017043,0,0,0,sitemap+cc,0,False,0,0,0,0,0,0,0,1,0,,False,0,0.0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,outputs\701114\checkpoints\progress.json
701115,seed,2025-10-30T02:45:14.233697,2025-10-30T02:45:14.258448,0.024751,0,0,0,sitemap+cc,308,False,0,308,0,0,0,16,292,1,0,,False,308,308.0,0,0,0,0,0,0.0,0.948051948051948,0.948051948051948,0.0,0.0,outputs\701115\checkpoints\progress.json
701116,seed,2025-10-30T02:45:14.285143,2025-10-30T02:45:14.313269,0.028126,0,0,0,sitemap+cc,463,False,0,463,0,0,0,209,254,3,2,,False,258,154.33333333333334,0,0,0,0,0,0.0,0.5485961123110151,0.5485961123110151,0.0,0.0,outputs\701116\checkpoints\progress.json
701117,seed,2025-10-30T02:45:14.333673,2025-10-30T02:45:14.359957,0.026284,0,0,0,sitemap+cc,1425,False,0,1425,0,0,0,1420,5,2,2,,False,1349,712.5,0,0,0,0,0,0.0,0.0035087719298245615,0.0035087719298245723,0.0,0.0,outputs\701117\checkpoints\progress.json
701118,seed,2025-10-30T02:45:14.382084,2025-10-30T02:45:14.404125,0.022041,0,0,0,sitemap+cc,130,False,0,130,0,0,0,108,22,1,0,,False,130,130.0,0,0,0,0,0,0.0,0.16923076923076924,0.16923076923076918,0.0,0.0,outputs\701118\checkpoints\progress.json
701119,seed,2025-10-30T02:45:14.430152,2025-10-30T02:45:14.456785,0.026633,0,0,0,sitemap+cc,2206,False,0,2203,0,3,0,1489,714,1,1,,False,2206,2206.0,0,0,0,0,0,0.0013599274705349274,0.3236627379873073,0.3250226654578422,0.0,0.0,outputs\701119\checkpoints\progress.json
701120,seed,2025-10-30T02:45:14.485754,2025-10-30T02:45:14.508647,0.022893,0,0,0,sitemap+cc,0,False,0,0,0,0,0,0,0,1,0,,False,0,0.0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,outputs\701120\checkpoints\progress.json
